set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,346.5,1.9,454.0,-6.460521992900201,-4.560521992900201,2.0,4.0,310.0,0.1,-9.625465891180085
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.982226519330263
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.564315429727605
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.399762084065681
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.278176989464969
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.982226519330263
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.42734560569777
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.273156188089919
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.201951575316764
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.99519149649463
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.735554185988875
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.456800585036046
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.438158474979987
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.969637392022243
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.480281680885568
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.23495183541969
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.974629337579742
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.750277442809581
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.982226519330263
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.355342944277268
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.102085730409287
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.974629337579742
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.78131167654955
t,346.0,1.9395192526186185,454.0,-6.460521992900201,-4.521002740281582,2.0,4.0,298.0,0.1,-10.460521992900201
t,347.0,1.94,454.0,-6.460521992900201,-4.520521992900201,2.0,4.0,310.0,0.1,-9.694704477590282
t*,346.5,1.94,454.0,-6.460480629551257,-4.520480629551257,2.0,4.0,298.0,0.1,-10.460480629551258
t*,346.5,1.75,454.0,-6.0948102972021125,-4.3448102972021125,2.0,4.0,308.0,0.1,-9.575533857840426
t,362.5,1.43,493.0,-6.036212172654444,-4.606212172654445,3.0,5.0,299.0,0.1,-11.559090917934782
t,362.5,1.43,493.0,-6.055517327849832,-4.625517327849831,3.0,5.0,298.0,0.01,-11.6
t,362.45999,1.76,493.0,-6.055517327849832,-4.295517327849831,3.0,5.0,310.0,0.1,-9.693789491832238
t,362.5,1.43,493.0,-5.943415832085721,-4.5134158320857205,3.0,5.0,305.0,0.128,-8.625051867754662
t,362.5,1.43,493.0,-5.943415832085721,-4.5134158320857205,3.0,5.0,305.0,0.075,-7.962357376046089
t*,362.5,1.43,493.0,-5.89557289247554,-4.4655728924755405,3.0,5.0,308.0,0.1,-9.69285849950617
t,360.4,1.69,514.0,-6.2076083105017466,-4.517608310501746,3.0,5.0,298.0,0.01,-10.53551045256603
t,288.4,2.94,555.0,-7.031517051446065,-4.091517051446065,3.0,3.0,299.0,0.1,-11.429457060118102
t,288.4,2.94,555.0,-7.031517051446065,-4.091517051446065,3.0,3.0,299.0,0.1,-11.429457060118102
t,272.4,4.01,449.0,-7.7447274948966935,-3.7347274948966938,2.0,2.0,310.0,0.01,-9.75706122997042
t,272.4,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,299.0,0.1,-11.4089353929735
t*,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.0773783284768
t,272.4,4.01,449.0,-7.7447274948966935,-3.7347274948966938,2.0,2.0,310.0,0.01,-9.75706122997042
t,272.4,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,299.0,0.1,-11.4089353929735
t*,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.0773783284768
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-10.225337077462177
